,date_occured,time_occured,city,state,country,shape,duration_seconds,duration_hours_min,comments,date_posted,latitude,longitude
24988,1971-01-07,22:00,tewksbury,ma,us,,5,5 seconds,Nothing in nature or manmade could have produced this light on the same night as other sightings in the area.,2000-12-02,42.6105556,-71.23472220000001
24989,1976-01-07,23:00,stansbury (south australia),,au,rectangle,180,2 to 3 minutes,It was a clear night&#44 two people witnessed the sighting&#44no other aircraft were in the vicinity&#44the size was stunning.,2002-02-22,-34.911079,137.799026
24990,1978-01-07,02:00,bristol,tn,us,,600,10 minutes,Bright White Light,2006-10-30,36.5950000,-82.18888890000001
24991,1980-01-07,13:00,oklahoma city,ok,us,other,600,10 min.,Man repts. football-shaped obj.&#44 30-40&#39 long on N side of I-240.  &quot;Skin&quot; appeared to &quot; rotate&quot; around 2 axes (&#33).,1999-11-02,35.4675000,-97.51611109999999
24992,1982-01-07,13:00,london (uk/england),,gb,sphere,900,15mins,SPHERICAL UFO sighted 20 METERS away IN BROAD DAYLIGHT for 15 min,2003-07-16,51.514125,-0.093689
25169,1946-01-08,02:00,new york city (brooklyn),ny,us,disk,300,5 min,Huge round silver disk hovering over neighbors house&#44 writing on disk and roaring fire from disk,2008-03-04,40.7141667,-74.0063889
25170,1968-01-08,19:00,tucson,az,us,disk,5,5 seconds,driving home from old tucson w/ parents looked out window(night)to left saw a round shape with dif. colored lites around come up above,2000-04-01,32.2216667,-110.9258333
25171,1969-01-08,21:30,pittsburgh,pa,us,other,300,5 minutes,Flat black color&#44 6-legged&#44 toy jack shaped&#44 basketball-sized object on the ground melting snow in a squall,2013-11-11,40.4405556,-79.9961111
25172,1973-01-08,21:00,mussel shoals,al,,oval,20,20 seconds,Glowing orange detailess object with outline shape of a car moving slowly across sky  until disappearing behind clouds.,2006-03-11,38.51529,-84.709841
25173,1976-01-08,20:00,nashville,tn,us,triangle,2,seconds,1976  bronze triangle seen in nashville&#44 tn,2004-04-27,36.1658333,-86.7844444
25174,1978-01-08,22:00,cardiff (uk/wales),,gb,triangle,1200,20 mins,light in the sky splits into 3&#44 one of which is observed to be a huge triangle,2003-08-28,51.5,-3.2
25175,1984-01-08,22:00,st. george,ut,us,formation,60,1 minute,Eight lights all different colors traveling accross the sky  in a  uneven V formation with small vapor trails.,2005-05-11,37.1041667,-113.58333329999999
25352,1974-01-09,21:00,carbondale,pa,us,circle,60,three days,A circular object flew across the sky and fell into a pond.  The water was bubbling and a strange blue/green color.  Police and militar,1999-10-19,41.5736111,-75.5022222
25353,1978-01-09,03:30,chatsworth,ca,us,circle,180,3 minutes,One night I looked up and saw one &quot;star&quot; slowly move into another. 3 days later I saw a 15 foot wide orange circle.,1999-05-24,34.2572222,-118.60027779999999
25354,1978-01-09,04:30,thousand oaks,ca,us,circle,60,60 seconds,I awoke at 4:30 a.m. and was lying awake in bed looking out the window.  I saw a large round yellow glowing object close to the ground,1999-01-28,34.1705556,-118.83666670000001
25355,1979-01-09,14:30,key west,fl,us,disk,300,5 minutes,A small unexplainable hovering object I spotted as a child of 10 while walking home from school one day in the 70s,2008-02-14,24.5552778,-81.78277779999999
25356,1988-01-09,23:00,ellington,ct,us,triangle,180,3 min,Large triangular craft aprox. 200-300 ft wide &#44 hovering approximately 150 ft above ground&#44 and making little or no sound,2002-12-23,41.9038889,-72.47027779999999
25500,1952-02-10,21:00,binghamton,ny,us,disk,900,10-15 minutes,1952 UFO  disk outside Binghamton&#44 NY  Girls&#39 Club stops for a look at teenage females,2005-04-16,42.0986111,-75.9183333
25501,1966-02-10,18:15,kent,oh,us,disk,120,2 minutes,A scout ship sighting followed by a mother ship sighting that lasted well over an hour. .,2003-06-18,41.1536111,-81.3580556
25502,1970-02-10,20:30,los angeles,ca,us,disk,600,app. 10 min,I sighted a disc shaped object hovering above the trees in a residential area of southwest Los Angeles in early 1970,2001-08-05,34.0522222,-118.2427778
25503,1973-02-10,16:00,houston,tx,us,rectangle,120,2 min.,Skin burns and bad health for all of us.,2001-11-20,29.7630556,-95.3630556
25504,1977-02-10,21:00,rio de janeiro (brazil),,,triangle,60,1 minute,I WAS IN BARRA DA TIJUCA IN A CAMPING SITE WITH 2 FRIENDS&#44 SAW LIKE A PYRAMID IN THE AIR&#44 STARTED TO RUN AWAY&#44 THE GIRL RAN AWAY A FEW,2003-03-04,-22.9083,-43.197077
25505,1979-02-10,09:30,helena,mt,us,disk,300,appox.5 min,Saucer shaped object hovering on ridge between two mountain peaks..about 300 yds out.,2005-04-16,46.5927778,-112.03527779999999
25506,1979-02-10,23:00,huntersville,nc,us,oval,300,5 minutes,UFO near switchyard of nuclear power plant.,2003-03-21,35.4105556,-80.8430556
25507,1984-02-10,22:00,marlow,nh,us,fireball,45,30 - 45 seconds,Orange fireball with strange movement,2007-08-07,43.1158333,-72.1975
25508,1989-02-10,18:00,mont alto,pa,us,oval,120,2 minutes,Huge oval shaped craft which had an amber glow quietly flew at tree top level over my friend and I.,1999-08-10,39.8441667,-77.5586111
25661,1976-02-11,22:30,fern park,fl,us,unknown,15,15 seconds,Beam&#44 Column of light from overhead&#44 no sound,2003-06-18,28.6488889,-81.3513889
25662,1983-02-11,00:00,las vegas,nv,us,circle,2,seconds,First encounter happened some time in the early 1980&#39s. My boyfriend (at that time)and i were leaving Las Vegas and had entered the des,2005-05-24,36.1750000,-115.1363889
25663,1989-02-11,22:00,chicago,il,us,other,8100,2 hours and 15 minutes,February 1989 Roger&#39s Park Chicago Northside 10PM -12:15AM Very Bright Lights/Bell Shape Craft,2004-03-02,41.8500000,-87.65
25809,1946-02-01,17:00,merced,ca,us,sphere,10,10 seconds,Three luminescent chartreusse spheres moving &quot;in trail&quot; in a wide arc (34 mi) across the Valley sky.,2005-10-11,37.3022222,-120.48194440000002
25810,1954-02-01,02:00,fairbanks,ak,us,unknown,1140,19 min.,RADAR INTERCEPT OF UFO BY USAF PILOT IN ALASKA 1954.,2009-01-10,64.8377778,-147.7163889
25811,1960-02-01,22:15,st. paul,mn,us,cigar,3,3 seconds,A cigar-shaped UFO glided down towards the earth at a 45 degree angle&#44 but was lost in the ground clutter.,2000-03-16,44.9444444,-93.0930556
